"","X.3","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","Trial"
"509",5,17,8,0.00173416792594708,8,5,0.020179925,"Control",101,"day",1,NA,NA,NA,7
"510",6,18,8,0.0150236131120128,8,6,0.033990523,"Control",101,"day",1,NA,NA,NA,7
"511",7,19,8,0.010763487541949,8,7,0.029563334,"Control",101,"day",1,NA,NA,NA,7
"512",8,20,8,0.0059486403356354,8,8,0.02455967,"Control",101,"day",1,NA,NA,NA,7
"513",9,21,8,0.00305970543213623,8,9,0.021557444,"Control",101,"day",1,NA,NA,NA,7
"514",10,22,8,0.000286475653857139,8,10,0.018675461,"Control",101,"day",1,NA,NA,NA,7
"515",11,23,8,0.0045367230150318,8,11,0.023092384,"Control",101,"day",1,NA,NA,NA,7
"516",12,24,8,0.00312652860347537,8,12,0.021626888,"Control",101,"day",1,NA,NA,NA,7
"517",13,25,8,-0.0196240582591147,8,13,-0.002015876,"Control",101,"night",1,NA,NA,NA,7
"518",14,26,8,-0.0191332259124661,8,14,-0.001505795,"Control",101,"night",1,NA,NA,NA,7
"519",15,27,8,-0.0162306127025849,8,15,0.001510646,"Control",101,"night",1,NA,NA,NA,7
"520",16,28,8,-0.0167218204969569,8,16,0.001000175,"Control",101,"night",1,NA,NA,NA,7
"521",17,29,8,-0.019285180623744,8,17,-0.001663709,"Control",101,"night",1,NA,NA,NA,7
"522",18,30,8,-0.0186181518929291,8,18,-0.000970522,"Control",101,"night",1,NA,NA,NA,7
"523",19,31,8,-0.0193665402176542,8,19,-0.001748259,"Control",101,"night",1,NA,NA,NA,7
"524",20,32,8,-0.0183989263013247,8,20,-0.0007427,"Control",101,"night",1,NA,NA,NA,7
"525",21,33,8,-0.0179972944320291,8,21,-0.000325317,"Control",101,"night",1,NA,NA,NA,7
"526",22,34,8,-0.0201642723247613,8,22,-0.002577275,"Control",101,"night",1,NA,NA,NA,7
"527",23,35,8,-0.0182518303664972,8,23,-0.000589835,"Control",101,"night",1,NA,NA,NA,7
"528",24,36,8,-0.0205513195900129,8,24,-0.0029795,"Control",101,"night",1,NA,NA,NA,7
"529",25,37,8,0.00141168208293632,8,25,0.019844793,"Control",101,"day",2,NA,NA,NA,7
"530",26,38,8,-0.00251354510289511,8,26,0.015765636,"Control",101,"day",2,NA,NA,NA,7
"531",27,39,8,-0.000412665667355356,8,27,0.017948902,"Control",101,"day",2,NA,NA,NA,7
"532",28,40,8,0.00108165414290801,8,28,0.019501823,"Control",101,"day",2,NA,NA,NA,7
"533",29,41,8,-0.00351618887630444,8,29,0.014723673,"Control",101,"day",2,NA,NA,NA,7
"534",30,42,8,-0.00454787176125758,8,30,0.013651532,"Control",101,"day",2,NA,NA,NA,7
"535",31,43,8,-0.00268592411779083,8,31,0.015586497,"Control",101,"day",2,NA,NA,NA,7
"536",32,44,8,-0.00831075457216086,8,32,0.009741085,"Control",101,"day",2,NA,NA,NA,7
"537",33,45,8,-0.00860804581738963,8,33,0.009432136,"Control",101,"day",2,NA,NA,NA,7
"538",34,46,8,-0.00737378667750248,8,34,0.010714797,"Control",101,"day",2,NA,NA,NA,7
"539",35,47,8,-0.00352138623650785,8,35,0.014718271,"Control",101,"day",2,NA,NA,NA,7
"540",36,48,8,-0.00239184312462831,8,36,0.01589211,"Control",101,"day",2,NA,NA,NA,7
"541",37,49,8,-0.0147995381569671,8,37,0.002997841,"Control",101,"night",2,NA,NA,NA,7
"542",38,50,8,-0.0105876618333294,8,38,0.007374888,"Control",101,"night",2,NA,NA,NA,7
"543",39,51,8,-0.0103600713163579,8,39,0.007611404,"Control",101,"night",2,NA,NA,NA,7
"544",40,52,8,-0.0104584366935172,8,40,0.007509181,"Control",101,"night",2,NA,NA,NA,7
"545",41,53,8,-0.010186539995899,8,41,0.00779174,"Control",101,"night",2,NA,NA,NA,7
"546",42,54,8,-0.00952861484898654,8,42,0.008475466,"Control",101,"night",2,NA,NA,NA,7
"547",43,55,8,-0.00929771690704591,8,43,0.008715419,"Control",101,"night",2,NA,NA,NA,7
"548",44,56,8,-0.0101009200302352,8,44,0.007880718,"Control",101,"night",2,NA,NA,NA,7
"549",45,57,8,-0.00984950350134948,8,45,0.008141994,"Control",101,"night",2,NA,NA,NA,7
"550",46,58,8,-0.0101801776554058,8,46,0.007798352,"Control",101,"night",2,NA,NA,NA,7
"551",47,59,8,-0.0105887459274121,8,47,0.007373761,"Control",101,"night",2,NA,NA,NA,7
"552",48,60,8,-0.0107662725667968,8,48,0.007189273,"Control",101,"night",2,NA,NA,NA,7
"553",49,61,8,-0.000112475105834177,8,49,0.018260865,"Control",101,"day",3,NA,NA,NA,7
"554",50,62,8,-0.00443352375116896,8,50,0.013770364,"Control",101,"day",3,NA,NA,NA,7
"555",51,63,8,-0.00606338581551156,8,51,0.012076586,"Control",101,"day",3,NA,NA,NA,7
"556",52,64,8,-0.00414044458676657,8,52,0.014074936,"Control",101,"day",3,NA,NA,NA,7
"557",53,65,8,-0.00458163891787816,8,53,0.01361644,"Control",101,"day",3,NA,NA,NA,7
"558",54,66,8,-0.00593172191824603,8,54,0.012213413,"Control",101,"day",3,NA,NA,NA,7
"559",55,67,8,-0.00245048866759305,8,55,0.015831165,"Control",101,"day",3,NA,NA,NA,7
"560",56,68,8,-0.00516965033983628,8,56,0.01300537,"Control",101,"day",3,NA,NA,NA,7
"561",57,69,8,-0.00217028487988658,8,57,0.016122357,"Control",101,"day",3,NA,NA,NA,7
"562",58,70,8,-0.00927474898943021,8,58,0.008739287,"Control",101,"day",3,NA,NA,NA,7
"563",59,71,8,-0.00523196776635211,8,59,0.012940608,"Control",101,"day",3,NA,NA,NA,7
"564",60,72,8,-0.0140748295046982,8,60,0.003750969,"Control",101,"day",3,NA,NA,NA,7
"565",61,73,8,-0.0672733906884976,8,61,-0.051533803,"Control",101,"night",3,NA,NA,NA,7
"566",62,74,8,-0.0643739246416304,8,62,-0.048520632,"Control",101,"night",3,NA,NA,NA,7
"567",63,75,8,-0.0646226735018137,8,63,-0.048779136,"Control",101,"night",3,NA,NA,NA,7
"568",64,76,8,-0.0629989588548834,8,64,-0.047091747,"Control",101,"night",3,NA,NA,NA,7
"569",65,77,8,-0.0615831179512403,8,65,-0.045620383,"Control",101,"night",3,NA,NA,NA,7
"570",66,78,8,-0.0635416423906623,8,66,-0.047655712,"Control",101,"night",3,NA,NA,NA,7
"571",67,79,8,-0.0609937046476301,8,67,-0.045007855,"Control",101,"night",3,NA,NA,NA,7
"572",68,80,8,-0.0617784245172653,8,68,-0.045823348,"Control",101,"night",3,NA,NA,NA,7
"573",69,81,8,-0.0631341007714919,8,69,-0.047232188,"Control",101,"night",3,NA,NA,NA,7
"574",70,82,8,-0.0608803507388773,8,70,-0.044890056,"Control",101,"night",3,NA,NA,NA,7
"575",71,83,8,-0.0618168917645133,8,71,-0.045863324,"Control",101,"night",3,NA,NA,NA,7
"576",72,84,8,-0.0625314514634791,8,72,-0.046605906,"Control",101,"night",3,NA,NA,NA,7
